"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Des'ree","Kaylee","F","1","Summers","246.30812","free","Phoenix-Mesa-Scottsdale, AZ","139","You Gotta Be","8"
"Mr Oizo","Kaylee","F","3","Summers","144.03873","free","Phoenix-Mesa-Scottsdale, AZ","139","Flat 55","8"
"Tamba Trio","Kaylee","F","4","Summers","177.18812","free","Phoenix-Mesa-Scottsdale, AZ","139","Quem Quiser Encontrar O Amor","8"
"The Mars Volta","Kaylee","F","5","Summers","380.42077","free","Phoenix-Mesa-Scottsdale, AZ","139","Eriatarka","8"
"Infected Mushroom","Kaylee","F","6","Summers","440.2673","free","Phoenix-Mesa-Scottsdale, AZ","139","Becoming Insane","8"
"Blue October / Imogen Heap","Kaylee","F","7","Summers","241.3971","free","Phoenix-Mesa-Scottsdale, AZ","139","Congratulations","8"
"Girl Talk","Kaylee","F","8","Summers","160.15628","free","Phoenix-Mesa-Scottsdale, AZ","139","Once again","8"
"Black Eyed Peas","Sylvie","F","0","Cruz","214.93506","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","9","Pump It","10"
"Fall Out Boy","Ryan","M","1","Smith","200.72444","free","San Jose-Sunnyvale-Santa Clara, CA","169","Nobody Puts Baby In The Corner","26"
"M.I.A.","Ryan","M","2","Smith","233.7171","free","San Jose-Sunnyvale-Santa Clara, CA","169","Mango Pickle Down River (With The Wilcannia Mob)","26"
"Survivor","Jayden","M","0","Fox","245.36771","free","New Orleans-Metairie, LA","100","Eye Of The Tiger","101"
"The Killers","Jayden","M","32","Graves","246.80444","paid","Marinette, WI-MI","594","Read My Mind","25"
"Tamia","Jayden","M","33","Graves","243.09506","paid","Marinette, WI-MI","594","Officially Missing You (Radio Version)","25"
"Randy Crawford","Jayden","M","34","Graves","270.75873","paid","Marinette, WI-MI","594","Almaz","25"
"Frumpies","Jayden","M","35","Graves","134.47791","paid","Marinette, WI-MI","594","Hello Kitty","25"
"Julia Fordham","Jayden","M","36","Graves","279.50975","paid","Marinette, WI-MI","594","Girlfriend","25"
"The Black Keys","Jayden","M","37","Graves","239.59465","paid","Marinette, WI-MI","594","Unknown Brother","25"
"Georgia Satellites","Jayden","M","38","Graves","178.88608","paid","Marinette, WI-MI","594","Battleship Chains (LP Version)","25"
"M.I.A.","Jayden","M","40","Graves","206.13179","paid","Marinette, WI-MI","594","Paper Planes","25"
"Phish","Jayden","M","41","Graves","319.29424","paid","Marinette, WI-MI","594","Prince Caspian","25"
"Dislocation Dance","Maia","F","0","Burke","122.87955","free","Houston-The Woodlands-Sugar Land, TX","628","With A Smile On Your Face And A Frown In Your Heart","51"
"The Black Keys","Jayden","M","42","Graves","238.62812","paid","Marinette, WI-MI","594","Strange Times","25"
"John Hiatt","Jayden","M","43","Graves","242.442","paid","Marinette, WI-MI","594","Have A Little Faith In Me","25"
"Elvis Costello","Jayden","M","44","Graves","226.0371","paid","Marinette, WI-MI","594","Watching The Detectives","25"
"Son House","Jayden","M","45","Graves","239.38567","paid","Marinette, WI-MI","594","Death Letter Blues (Live)","25"
"Cyndi Lauper","Jayden","M","46","Graves","231.81016","paid","Marinette, WI-MI","594","She Bop","25"
"ÃÂtienne Daho","Jayden","M","47","Graves","231.3922","paid","Marinette, WI-MI","594","Paris Ailleurs (Live 1992)","25"
"Dragonforce","Jayden","M","48","Graves","345.5473","paid","Marinette, WI-MI","594","Cry of the Brave","25"
"Rise Against","Jayden","M","49","Graves","242.25914","paid","Marinette, WI-MI","594","Savior","25"
"Emmy The Great","Noah","M","0","Chavez","204.79955","free","Ogden-Clearfield, UT","530","Mia","94"
"Kings Of Leon","Jayden","M","50","Graves","231.81016","paid","Marinette, WI-MI","594","Use Somebody","25"
"Avenged Sevenfold","Jayden","M","51","Graves","283.76771","paid","Marinette, WI-MI","594","Unholy Confessions","25"
"A.B. Quintanilla III Y Los Kumbia Kings","Jayden","M","52","Graves","196.77995","paid","Marinette, WI-MI","594","Te Quiero A Ti","25"
"Coldplay","Jayden","M","53","Graves","228.62322","paid","Marinette, WI-MI","594","Only Superstition","25"
"B.o.B","Jayden","M","54","Graves","269.63546","paid","Marinette, WI-MI","594","Nothin' On You [feat. Bruno Mars] (Album Version)","25"
"Crystal Castles","Jayden","M","55","Graves","252.89098","paid","Marinette, WI-MI","594","Baptism","25"
"Justin Nozuka","Jayden","M","56","Graves","213.62893","paid","Marinette, WI-MI","594","Mr Therapy Man","25"
"Blackmore's Night","Jayden","M","57","Graves","201.40363","paid","Marinette, WI-MI","594","Sister Gypsy","25"
"Beirut","Kinsley","F","1","Young","239.0722","paid","Red Bluff, CA","658","Fountains And Tramways","85"
"Beck","Jayden","M","58","Graves","304.50893","paid","Marinette, WI-MI","594","End Of The Day","25"
"Arctic Monkeys","Kinsley","F","2","Young","177.84118","paid","Red Bluff, CA","658","Fake Tales Of San Francisco (Explicit)","85"
"Van Halen","Lily","F","0","Burns","227.44771","free","New York-Newark-Jersey City, NY-NJ-PA","727","Ain't Talkin'  'Bout Love (Remastered Version)","32"
"Secret Garden","Jayden","M","63","Graves","180.21832","paid","Marinette, WI-MI","594","Atlantia","25"
"Snow Patrol","Kinsley","F","3","Young","274.49424","paid","Red Bluff, CA","658","Chasing Cars","85"
"Rihanna","Lily","F","3","Burns","239.75138","free","New York-Newark-Jersey City, NY-NJ-PA","727","G4L","32"
"Bayside","Jayden","M","64","Graves","180.27057","paid","Marinette, WI-MI","594","Duality (Album Version)","25"
"Todd Barry","Kinsley","F","4","Young","126.82404","paid","Red Bluff, CA","658","Sugar Ray (LP Version)","85"
"Bayside","Jayden","M","65","Graves","243.64363","paid","Marinette, WI-MI","594","Montauk","25"
"Viki Mosholiou","Kinsley","F","5","Young","169.84771","paid","Red Bluff, CA","658","Milo Gia Ta Pedia Mou (2006 Digital Remaster)","85"
"Hatebreed","Kinsley","F","6","Young","124.42077","paid","Red Bluff, CA","658","Worlds Apart (Album Version)","85"
"Sonny Boy Williamson","Jayden","M","66","Graves","152.24118","paid","Marinette, WI-MI","594","Don't Start Me Talkin'","25"
"Shattered Realm","Kinsley","F","7","Young","108.45995","paid","Red Bluff, CA","658","Devil In Disguise","85"
"Timbaland / Katy Perry","Jayden","M","67","Graves","238.70649","paid","Marinette, WI-MI","594","If We Ever Meet Again","25"
"Sam and Dave","Kinsley","F","8","Young","157.28281","paid","Red Bluff, CA","658","Hold on I'm Coming","85"
"Sea Wolf","Kinsley","F","9","Young","225.802","paid","Red Bluff, CA","658","Black Dirt (Album)","85"
"Apocalyptica featuring Corey Taylor","Jayden","M","68","Graves","214.12526","paid","Marinette, WI-MI","594","I'm Not Jesus","25"
"Bomfunk MC's","Kinsley","F","10","Young","225.4624","paid","Red Bluff, CA","658","Rocking_ Just To Make Ya Move","85"
"Jets To Brazil","Jayden","M","69","Graves","571.03628","paid","Marinette, WI-MI","594","Rocket Boy","25"
